"Insample","time","variable","j0","A1","A2","A3","A4","A5","A6"
1,1,1,0.0301940324866804,-0.442687758363472,0.193733104702735,0,0,0,0
1,1,2,-0.0246834759913019,1.02934711058897,-0.329856470190999,0,0,0.184871199309668,0
1,1,3,-0.062523229878495,0,0.763337697738555,0.171346859779029,0,0,0
1,1,4,0.00468570683057837,0,-0.326515978601794,0.357178152776414,-0.38899669946207,0,0.582438732712805
1,1,5,0.000295274423749268,0,0,0,0.833881711449679,0.0661791916686307,0
1,1,6,-0.00383007015735291,0,0,3.29651727776344e-06,0,0,0.792335331661609
1,2,1,-0.00921437516601703,0.427430928219741,0,0,-0.0542802317871807,0,0
1,2,2,-0.00865251936112333,0.653652512204152,-0.168864645057568,0,0,0,0
1,2,3,-0.0554531175387495,0,0.775293524474622,0.162421875543454,0,0,0
1,2,4,-0.000442957133653631,-0.245173556184602,0,0.78619833856878,-0.196493281454548,0.213740344895593,0
1,2,5,-0.00354671877773351,0,0,0,0.640913303216921,0.431418452713405,0
1,2,6,-0.00421936481551736,0,0.524114388079231,0.714733348099,0,0.704305710952672,-0.15288064255231
1,3,1,0.0059342447251205,0.0224333318947877,0,0,0,0,0
1,3,2,0.0118130523417086,1.00876823500379,-0.163819821473276,0.137946855802306,0,0.337218202379084,0
1,3,3,-0.0742485766793017,0,0.753058977184846,0.158402750668536,0,0,0
1,3,4,-0.00151930468513941,0,-0.0972537239287134,0.544073680147532,-0.114489498436697,0,0.0603225078651145
1,3,5,-0.00137026044641261,0,0,0,0.534960375590517,0.0685255589528844,0
1,3,6,-0.00355194524762101,0,0,9.99609069072282e-06,0,0,1.01068946361254
1,4,1,0.0175606479933407,-1.24295429016756,0,0.755884338845398,0,0,0
1,4,2,-0.000863589012404718,0.718132000285111,-0.0850977865005005,0,0,0,0
1,4,3,-0.0854456987923432,0,0.745947736294308,0.151759647193583,0,0,0
1,4,4,-0.00287305641317251,-0.924887797904186,0,0.964120110993522,-0.230090838897078,0.316371142377876,0
1,4,5,-0.00242413717361599,-0.212433173103048,0,0.327466456268719,0.577207652493061,0.900194844429624,0
1,4,6,-0.00252748620369815,0,0,0,0,0.0177251462460737,0.899294217099619
1,5,1,-0.000327469716961155,-0.132416518416698,0,0,0,-8.2106931327076e-18,0
1,5,2,-0.0251480189170625,0.935904935797801,-0.920126013461269,0,0,0,0
1,5,3,-0.0559102379258238,0,0.75778417356958,0.180090311364994,0,0,0
1,5,4,0.00592419876360408,0.106308902174572,0,0.110943758410303,0.133165367447722,0.0389165774633335,0.0544958390191926
1,5,5,0.00223933568232875,0,0,0.0133505262373378,0.630188084869448,0.040799422328672,0
1,5,6,-0.00159919933975351,0,0,0.434862147436828,0.227587976574423,0.241371645266921,0.409326119980707
1,6,1,0.0178724982802087,0.234674058161622,0,0,0,0,0
1,6,2,-0.00350447031067217,0.52937412121147,-0.0482630216851701,0,0,0,0
1,6,3,-0.0687385133471012,0,0.756914380110775,0.165962712822871,0,0,0
1,6,4,-0.00208234798899371,0,0,1.03812187721495,0.0100090025364852,0,0
1,6,5,8.60956527562115e-06,0.330017074547567,0,0.632546177097761,0.512709326953093,0.492258637658051,0
1,6,6,-0.00292925934689171,0,0,2.53792827628486e-08,0,0,0.668251022052325
1,7,1,0.0179250012003135,-0.25588682221114,0.313732669434821,0.0154409157603602,0,0.0310907368598859,0
1,7,2,0.00355982273547942,0.716566543713072,-0.675196881084339,0.151545148670165,0.20729646032599,0.0704154170989375,0.0895635005468083
1,7,3,-0.0874383712546503,0,0.776547163330744,0.110904792729472,0,0,0
1,7,4,-0.00067223461625345,0.5778156219146,-0.249074933932987,0.308174562744324,-0.182002652392031,0.0546388405838793,0
1,7,5,-0.00260105736937723,0,0,0,0.603527551761766,0.175651121647607,0
1,7,6,-0.0035973254848951,-0.256392343175404,-0.358308252050232,0.250295436903408,0,0,1.03239393730426
1,8,1,0.00321920235711236,-0.0803217168110121,1.0138000105741,0,0,0,0.249921295515267
1,8,2,0.0233606671325285,0.729383507057231,0.154538905934393,0.192422265578589,0,0,0
1,8,3,-0.0560245033506084,0,0.760784487933402,0.172004097582404,0,0,0
1,8,4,-0.0018387073307967,-0.436782092028217,0,1.18624187743496,0.0769350047102315,0,0
1,8,5,0.00398074957118465,-0.103704109762825,0,0.167961823064471,0.343973191631614,1.543837521998,0
1,8,6,-0.00105754121233401,0,0,0,0,0.80750359741063,0.479666481309882
1,9,1,0.0164850792387722,0.74850853990415,0,0,0,0,5.64490379593414e-17
1,9,2,-0.00894187227311574,0.79940045976189,-0.136761006176047,0.227834033977669,0,0,0
1,9,3,-0.0776709358412943,0,0.761583783981124,0.170289232384272,0,0,0
1,9,4,-0.0018510368279306,0.324107876818836,-0.0844004881922787,0.511199478018099,-0.226527825947056,0.242988736627613,0.0140140452835576
1,9,5,-0.00129278575617008,0.254746005363913,0,0.173741644759188,0.699962109656404,-0.202339244376524,0
1,9,6,-0.00177767461311128,-0.117895256562854,0,0.254712835621161,0.23770628890462,0.236521774005666,0.362753885515892
1,10,1,0.0103009423866526,0.141920072398882,0.988340133136904,0,0,0,0
1,10,2,0.00946574348489786,0.836128119238831,-0.0507452822233676,0.250203171978101,0,0,0
1,10,3,-0.042178723838025,0,0.772565240527608,0.173518071911353,0,0,0
1,10,4,0.00158331477890074,-0.105726515430748,-0.171879573532701,0.702096008617405,0.0747317043709816,0.285129889640677,0
1,10,5,0.00350037074907717,0,-0.239188315434485,0,1.19122840729244,0.125893547433601,0
1,10,6,-6.61139300382313e-05,-0.211366117908879,0.319750297552549,0.587172798590488,0,0.601563094268414,0.0621060921627678
1,11,1,-0.00557072888845502,0.331945960488178,0,0,0,0,1.00122263917165e-17
1,11,2,0.00929408583279311,0.971195566276946,-0.0783055477665604,0.0709750199578435,0,0.16897626280797,0
1,11,3,-0.0661456143020875,0,0.753319113161566,0.164842887604374,0,0,0
1,11,4,-0.0014571228241764,0.190283677997858,-0.192696877009781,0.428128817857443,-0.0724777262836299,0.267638493069961,0.0776627179531171
1,11,5,-0.000298999638289808,0,0,0,0.78835670877919,0.0866022485721435,0
1,11,6,-0.00295337154568909,0,0,0,0,0.439596332782472,0.472964292656758
1,12,1,0.00956884008077105,0.386028440280291,0,0,0,0,0.0785497250981152
1,12,2,-0.00888182361708772,0.361540424407312,0.198832475106145,0,0,0,0
1,12,3,-0.0416029963610741,0,0.766094548958788,0.150197243730635,0,0,0
1,12,4,-0.000421153535379011,0.163466799900313,-0.131247504102494,0.3991422774111,0.103655704511998,0.278175093321535,0.0250190159240772
1,12,5,0.00294726363081934,0,-0.340779102040126,0,1.46507423789437,0.261543459874421,-0.404889940714464
1,12,6,-0.0044394301631345,0.0104113735037135,0,0.0928710158084743,0.162255605338931,0.277769321364446,0.354201091626727
1,13,1,0.000876102133457771,0.139649128493042,0.587092437992096,0,0,0,0
1,13,2,-0.0239526442143553,0.937270754561997,-0.483732374185262,0.258049341929468,0,0.254591576724344,0
1,13,3,-0.0809785769527308,0,0.773696970035653,0.168225272453186,0,0,0
1,13,4,-0.0029372318951418,0,-0.0696042374705722,0.240385249689212,0.384664657540758,0.110039378986299,0
1,13,5,0.00185697582246909,0,0,0,1.16329813856542,-0.28435054702853,0
1,13,6,-0.00239823627192744,0,0,0.0662626122522109,0.109547654044334,0.355717443484164,0.447799639927178
1,14,1,-0.000912177388521892,0.0328496565378931,0,0,0,0,0
1,14,2,-0.00556966049969547,0.715595118472122,-0.220206206868509,0.107818011301821,0,0,0.305616535106393
1,14,3,-0.0794815382874624,0,0.744832139867662,0.16615275673611,0,0,0
1,14,4,-0.000360262133078774,0.0475491788976521,-0.295397952334819,0.466011809809357,-0.102337918370096,0.179298617966117,0.216545537557089
1,14,5,-0.00065550140712238,0,-0.03066960727453,0,0.470902003145092,0.166322563743765,0
1,14,6,-0.0032526267305575,0,0,0,0,0.564315538132913,0.409407232289203
1,15,1,0.00400026086236883,-0.627872883413352,0.171688275412829,0,0.075255961843471,0,0.272102271612166
1,15,2,0.0196004795108422,0.415524216236432,-0.306322172139244,0.207763962351879,0,0,0
1,15,3,-0.07672104247159,0,0.738700922062608,0.148748042938666,0,0,0
1,15,4,0.0013618784407391,-0.193747825755319,-0.189679293636989,0.508477866135704,0.33362969419852,0,0
1,15,5,0.0023260057213757,0,-0.354576360109176,0,1.38669237049968,0.33541912586142,-0.394696631932573
1,15,6,-0.000750504977431665,0,0,0.209010821930147,0.174894064453762,0.573464420223177,0.251397757407356
1,16,1,0.00441494647017801,-0.275623961583117,0,0,0,0,0
1,16,2,-0.0181935840836402,0.641039706643072,-1.18401842243873,0.181712090885781,0,0.218619915839552,0
1,16,3,-0.0670138964957376,0,0.765114792719306,0.161903772269086,0,0,0
1,16,4,-0.000713178667131116,0.273374152424991,0,0.336863442378939,-0.502828956450134,0.163377514015647,0.480850986204478
1,16,5,-0.00165721418173036,0,0,0,0.668527446101893,0.0219687464254368,0
1,16,6,-0.00266402756898997,0,0,0.124477385496863,0,0.635913164210898,0.240719383434707
1,17,1,0.0137226749336122,-1.02412830544885,0.034246230436592,0.213304364304791,0.0304834027639049,0.0601110594180991,0.0682187363359825
1,17,2,-0.00327451707722303,0.699594604865778,-0.0903268973969352,0,0,0,0
1,17,3,-0.0577195905890109,0,0.796492804656474,0.160643165431409,0,0,0
1,17,4,-0.00177696307864696,0,0,0.588613171372575,-0.143150892909764,0.101645607911594,0
1,17,5,0.00235877196822618,0,0,0,0.10351160837994,0.797750613502209,0
1,17,6,-0.00108977320347714,0.0354669107062684,0.108263653524948,-0.107287547957519,0,0.302600268402902,0.685202612954862
1,18,1,0.0161331041815368,-0.332916826164849,0.546724893120408,0.0849156634690635,-0.0390166739844047,0.090343091850748,0.0199082482395335
1,18,2,-0.00159958944043304,0.855883530027183,-0.586011150974316,0.103728834496591,0.559291707610958,0,0
1,18,3,-0.0460083599096788,0,0.75579600215695,0.214917222427543,0,0,0
1,18,4,-0.00141849128632537,0.0780797508047864,-0.232461451037005,0.22231960215936,-0.788681586353798,0.306746224562242,0.576312624168002
1,18,5,-0.00225020415906432,0,0,0,0.538317878980045,0.112907353592629,0
1,18,6,-0.00126200426574101,0,0,0,0,1.86156793460103e-05,0.908284938009918
1,19,1,0.0193373682827113,0.253779431923587,0.487958587926652,0,0,0,0.522609690973167
1,19,2,-0.0113324119251446,0.87526951161161,-0.277446872369752,0,0,0.313403119101248,0
1,19,3,-0.0479933891620418,0,0.762968859903728,0.155312199863036,0,0,0
1,19,4,-0.0030704936930856,0,0,2.43599000555382e-07,0.095816254619734,0,0
1,19,5,0.00425265530489672,0,0,0,0.66365523907014,0.451890842681897,0
1,19,6,-0.002033590128632,0,0.153438819255247,0.0156321526558758,0,0.534707069390689,0.286193449440608
1,20,1,0.0107871360116916,0.654420969114437,0.203350978910819,0,-0.0170719892050832,0,0.17750971357404
1,20,2,-0.000592035126669388,0.916638687777946,-0.344707466471531,0.236026572657662,0,0.118876002026306,0
1,20,3,-0.0766876827642276,0,0.747773444130662,0.170555768296496,0,0,0
1,20,4,-0.0011229520254847,0,-0.127390481710948,0.489984371662496,0.185708461062429,0,0.0118901717685359
1,20,5,-0.00168069109917657,0,0,0,0.816204895153615,0.0669747501604604,0
1,20,6,-0.00412188297838412,0,0.0291340547359763,0.0407406823121817,0.112986527675289,0.317893707427911,0.388897159330411
1,21,1,0.0138978684044919,0.327105287739301,0.938664763853934,0,0,0,0
1,21,2,0.0302877591938509,0.841367946986661,0.201140095454558,0,0,0,0
1,21,3,-0.049186457104242,0,0.737594212862057,0.169880355458672,0,0,0
1,21,4,-6.6550867167137e-05,0,-0.253790071079144,0.495154384850206,0.321120019384122,0,0
1,21,5,-0.000245408323006902,0,-0.282269602612989,0.538080649003159,1.22171690849275,-0.356774454560784,-0.357482401289436
1,21,6,-0.0047094986790096,0.0667271753121744,0,0.065484873595514,0.152730376490104,0.273316426968585,0.378956880848212
1,22,1,-0.00657558164667659,0.536630476675953,0,0,0,0,0
1,22,2,0.00225124378112948,0.51709998470477,0.190029750171963,0.184292466148213,0,0,0
1,22,3,-0.0719294211543133,0,0.749838651224,0.171819773833838,0,0,0
1,22,4,0.00180046990769267,0,0,0.651124988243008,0.230636560190074,0.0156468419193351,0
1,22,5,0.00104511044696843,0,-0.309876988969793,0,1.3024250664993,0.414048026577837,-0.633617299023357
1,22,6,-0.0052377241794255,0.0746076864616435,0,0.126148713599713,0.0496534948274753,0.331202162100684,0.390135993388051
1,23,1,0.00057806852824744,0.174996963494496,0.870599437849471,0,0,0,0
1,23,2,0.0168482000219705,0.689494143023407,0.263606975591443,0,0,0,0
1,23,3,-0.0523363889072299,0,0.740718774795343,0.160873557739471,0,0,0
1,23,4,0.00466142612482556,0.469316867901884,-0.687617499669977,0.313788505572427,0.304301520303599,0.571368001035758,0.0831718244311605
1,23,5,0.00176832913275777,0,0,0,0.830069099651727,0.0601646181906474,0
1,23,6,-0.00412122338826198,0.0122359496495102,0,0,0.176260715398185,0.32899116600526,0.433659305803208
1,24,1,-0.0230676642444364,0.206123517669737,0,0,0,0,0
1,24,2,-0.00324194823040824,0.520916077328797,0.0340078379601916,0.274966958509504,0,0,0
1,24,3,-0.0656193644007591,0,0.751434959402101,0.164616072983415,0,0,0
1,24,4,0.00263742493695852,0,0,0.670773390121355,-0.0513629527930135,0.159059369969665,0
1,24,5,0.00162829667302558,0,0,0,0.432558847322978,0.195784033238981,0
1,24,6,-0.00397106406924606,0.121153072964717,-0.116914946594785,0,0.325251024584756,0.530406322869926,0.190160713530411
1,25,1,0.000683832677640314,0.0973753155735802,1.00948846949218,0,0,0,0
1,25,2,0.0199757138033762,0.356759618833831,0.566727470925165,0,0,0,0
1,25,3,-0.059890766320343,0,0.75174040145556,0.161436661211985,0,0,0
1,25,4,0.00638769883240077,0.0731306632967732,-0.386353859230677,0.513321918664114,0.209502557945016,0.205663641399684,0.24364445310877
1,25,5,0.00171079964133274,0,0.153799117028877,0,0.963484443710261,-0.148382766168747,0
1,25,6,-0.00490545749031089,0.00103258622156181,0,-0.0782578136160493,0.291380839496356,0.629249361176452,0.127449389656947
1,26,1,-0.0109774338063732,0.385238399900907,0.203742503729909,0,0,0,0
1,26,2,0.00268624138143433,0.618118892439359,-0.0954218866888449,0.312981702273799,0,0,0
1,26,3,-0.0624643978132035,0,0.751279798970798,0.161531869637525,0,0,0
1,26,4,-0.000456130331045766,0,0,0.696451306541988,0.0831333319953863,0,0
1,26,5,0.000437413651253368,0,0,0,0.240859123467648,0.501652079435797,-0.0238470500758475
1,26,6,-0.00595702443076759,0.175172536384606,0,0,0.210613152283797,0.401296570150598,0.210174318816891
1,27,1,0.00360625222943422,0.169857787353524,0.834348840621262,0,0,0,0
1,27,2,0.0304259778948961,0.484182096652042,0.481505119993194,0,0,0,0
1,27,3,-0.0553961964506082,0,0.742284899728959,0.160872230491113,0,0,0
1,27,4,0.00268054257670641,0,0,0.543694997733479,0.297810652008227,0,0
1,27,5,-0.000623347828809934,0,0,0,0.713545492694018,0.0269763953566006,-0.0675361440443078
1,27,6,-0.00748864267865249,0.0332754529099393,0,0,0,0.489805168874659,0.370030933379959
1,28,1,-0.00133006778709785,0.319953357674002,0.55029260835529,0.110009873261248,0,-0.0357077786241352,0
1,28,2,0.00206842625435967,0.558305816605865,0.32253845445706,0,0,0,0
1,28,3,-0.0639302395438915,0,0.74878079026227,0.163005460772981,0,0,0
1,28,4,0.00324959626984873,0,0,0.763594307039086,-0.171774854982072,0.250525741734205,0
1,28,5,0.00200836442894645,0,0,0,0,0.704016444097178,-2.63516691991754e-06
1,28,6,-0.0051441642042049,0.131069998129804,-0.0930115061153884,0,0.184901509384101,0.304424544279615,0.44517078140771
1,29,1,-0.00679986688840808,0.269110329076039,0.492165644402955,0.143894387176845,0,-0.0945893924535853,0
1,29,2,0.00258757871004897,0.492889213182217,0.313779732119949,0.0899831862611601,0,0,0
1,29,3,-0.0669284912770015,0,0.750385246552609,0.165924606076336,0,0,0
1,29,4,0.00167674954205507,0,0,0.425391328588276,0.194059102267936,0.227525106634458,0
1,29,5,0.00535676168203201,0,0,0,1.09544344372037,-0.143539916238725,0
1,29,6,-0.00792982079829789,0.185748238230433,-0.00307406649896121,0,0.191054821976186,0.223904735900849,0.377581563718302
1,30,1,-0.00384154496614288,0.396872852334029,0.596518536275675,0.00251101113133722,0,-0.0887681842270918,0
1,30,2,0.000866929475412198,0.508542701329544,0.0956164486926408,0.254461871064862,0,0,0
